district,superset_district_iso,geojson_geometry
Hoima,UG-403,"{""type"":""Polygon"",""coordinates"":[[[30.55370445300008,1.335632478000093],[30.597284383000044,1.391673279000102],[30.68172367300008,1.500348816000042],[30.817012573000056,1.609515279000092],[30.954420207000112,1.720671285000094],[31.025837036000098,1.778238831000039],[31.075539310079733,1.840648915907775],[31.32696756330239,1.821000148338157],[31.360579854276807,1.790188882211112],[31.3614245946693,1.738188788281946],[31.3652486514041,1.725218004007672],[31.366488884854107,1.710903631697249],[31.37486046693698,1.699018053040732],[31.36349165221793,1.644861151920622],[31.37661746612315,1.607576606175428],[31.400078565973047,1.614811305797105],[31.422196078686056,1.61876455284181],[31.4292240736321,1.598042304109015],[31.441809556865564,1.459668020362813],[31.44638064984707,1.408131415432479],[31.46374393073779,1.389347032139824],[31.486584913862657,1.372035427193225],[31.51376671676053,1.361312568520191],[31.437802362189245,1.285451564937773],[31.408760207317698,1.27418610300623],[31.35150271987459,1.245350652810373],[31.317706333180695,1.235118720552521],[31.290524530282823,1.21351797087766],[31.247633091094258,1.220132555572945],[31.20990929487806,1.219512437049332],[31.194406365961015,1.200960597753351],[31.17425255710981,1.19212392857645],[31.146760694950103,1.194656073219221],[31.11988895041469,1.19289907493237],[31.097461379339165,1.161273098574611],[31.071416457103794,1.163391832067362],[31.05239952981441,1.166957506383824],[31.0137455576114,1.145821844702368],[30.967340121849134,1.139879055374081],[30.87172968237894,1.105346638336698],[30.805076124963193,1.124066067195258],[30.76952273908313,1.11099193013348],[30.743064405697737,1.081949775261933],[30.67549426914519,1.054325431273639],[30.5930753957129,1.042551306497614],[30.548140902780403,1.074198309904091],[30.55000125475408,1.161376451362116],[30.55370445300008,1.335632478000093]]]}"
Ibanda,UG-416,"{""type"":""Polygon"",""coordinates"":[[[30.62152143676485,-0.227220960678778],[30.561163363898117,-0.235179131611631],[30.503595818991812,-0.255901381243746],[30.484785597277494,-0.248408298304355],[30.462874790139438,-0.25290414770825],[30.452436151407255,-0.260965670529288],[30.448922153034914,-0.274194838121275],[30.44096398300138,-0.287268975183053],[30.425874465234358,-0.290266208718549],[30.415022413553515,-0.281016126592988],[30.40799441860753,-0.267838636743704],[30.323373194517274,-0.211647935903557],[30.297096794881156,-0.194199721240182],[30.282110629901638,-0.19239104610989],[30.271671991169455,-0.15363372201864],[30.249657831243894,-0.119889011268867],[30.278389926853606,-0.122214451235948],[30.306708612212674,-0.127692152570773],[30.38887413942996,-0.164640801531789],[30.41646935437717,-0.172754001196211],[30.439723748652057,-0.162883803244938],[30.464115025388082,-0.155907485142336],[30.446441685235584,-0.13322153074904],[30.42763146262189,-0.120819187255677],[30.415849236752877,-0.063820082231018],[30.400688756181125,-0.028337338097685],[30.428405628716746,0.019117666746922],[30.47486372158346,0.100355943471982],[30.505042758916147,0.114101874102175],[30.558984570981124,0.127360737308152],[30.59334745052439,0.144542177079813],[30.64409660367528,0.163416655354354],[30.667644853227387,0.120244864209099],[30.734364893025372,0.120244864209099],[30.688907504577628,0.033951728489455],[30.64017189481706,-0.013195216286192],[30.604849520488983,-0.072065840166374],[30.585225978895778,-0.138785880863736],[30.67009728376263,-0.166294447031134],[30.645189243089078,-0.179626966511307],[30.626999138999054,-0.199005629006592],[30.62152143676485,-0.227220960678778]]]}"
Iganga,UG-203,"{""type"":""Polygon"",""coordinates"":[[[33.56573449135368,0.450670477960159],[33.560566846582674,0.467930406063374],[33.544960564878124,0.481572983906062],[33.54030968584328,0.502243556694793],[33.542686801754485,0.523999335101223],[33.517055290669134,0.547512111794504],[33.51304296446119,0.6150779873592],[33.51304296446119,0.667175721582282],[33.455156593701815,0.699013225679835],[33.42042477088643,0.727956411059495],[33.42331908960426,0.768476871310554],[33.43779068229412,0.814785968097965],[33.42734500456828,0.87141998884141],[33.459797805024664,0.86893952104208],[33.47685102665355,0.863151760445362],[33.49297407409421,0.861188056583558],[33.53183475097296,0.880928453385422],[33.542066685029454,0.815196031071991],[33.555399203610364,0.79721263345624],[33.57741336443519,0.790959783966855],[33.622681918635635,0.77256297430182],[33.63053673678098,0.732927151067145],[33.63880496607629,0.706882228831773],[33.665986768974165,0.679958808352296],[33.668570591359696,0.639909573068337],[33.66154259641365,0.600067043359331],[33.64262902191183,0.5698363309819],[33.61751427566327,0.542292791978753],[33.60872928243043,0.502863674319087],[33.609556104730416,0.464416409489672],[33.60986616399225,0.453461005021381],[33.60883263521794,0.442247219033902],[33.56573449135368,0.450670477960159]]]}"
Isingiro,UG-417,"{""type"":""Polygon"",""coordinates"":[[[30.471785843000134,-1.066836591999916],[30.460828622942586,-1.063427549541814],[30.462978142926943,-1.055904228697216],[30.483648715715617,-1.023244723565142],[30.4984281760195,-0.987898044159408],[30.501218703080667,-0.971930027248959],[30.507936638764875,-0.956065362226695],[30.520649040620697,-0.944179782670858],[30.540906203158727,-0.91529265653088],[30.556719191337606,-0.909504896833539],[30.575942824201945,-0.885785413665928],[30.58875857884533,-0.859895521960766],[30.589998814093974,-0.805686943997273],[30.64017189481706,-0.813835701956066],[30.639504836179242,-0.726311943841154],[30.635474073869375,-0.683523857440093],[30.640951776103577,-0.664920343099368],[30.639608188966747,-0.646213474172498],[30.647463006212774,-0.612055352272705],[30.68839074064016,-0.61732634803252],[30.707407667929488,-0.613967380190445],[30.72869835834257,-0.604562270232577],[30.765181919310123,-0.605027358226039],[30.810657179085524,-0.625852959746283],[30.845693801028062,-0.658512464878356],[30.854065383110935,-0.679699801604556],[30.865330845042422,-0.695099378633415],[30.887345004967983,-0.690138442135378],[30.90904910743035,-0.689156589305185],[30.95318078006892,-0.693135674771611],[30.99731245270749,-0.692153821941361],[31.039480422383576,-0.681818535996626],[31.074930453677496,-0.652724705181015],[31.122266066325892,-0.681095065584827],[31.162780388703936,-0.718767184957642],[31.181073845581466,-0.742434991281812],[31.19006554528869,-0.770805351685624],[31.186241488553833,-0.796075127565075],[31.20050418492019,-0.840775241883932],[31.182830844767636,-0.863512872221293],[31.196163364247866,-0.884855237679062],[31.21900434737273,-0.899944757244782],[31.23977827294891,-0.920563653190072],[31.246909620682402,-0.946091810588598],[31.251043734880454,-0.971154879993719],[31.270060663069103,-0.991515394419935],[31.280395949013837,-1.002470797988963],[31.280492690884955,-1.002573344084567],[31.259156128000086,-1.002573343999927],[31.076118204000068,-1.002573343999927],[30.89297692800011,-1.002573343999927],[30.82838138800014,-1.002573343999927],[30.812465048000035,-0.9947185259999],[30.777118367000128,-0.98583017999988],[30.73949792500008,-1.005467223999915],[30.701567424000075,-1.017456155999881],[30.687098023000146,-1.025000914999922],[30.651337931000057,-1.062828063999902],[30.63862552900008,-1.073370055999959],[30.614544311000145,-1.065825296999918],[30.592736857000034,-1.063448180999956],[30.54230066000008,-1.068099059999923],[30.52369714300005,-1.072439880999909],[30.5116565350001,-1.073370055999959],[30.506023803000062,-1.070786233999868],[30.50085616000007,-1.06520517999985],[30.493414754000128,-1.060244241999897],[30.48101241100005,-1.059107360999889],[30.47295088700008,-1.065618590999861],[30.471785843000134,-1.066836591999916]]]}"
Jinja,UG-204,"{""type"":""Polygon"",""coordinates"":[[[33.181881951690684,0.684919744850333],[33.19852176306887,0.677581692441152],[33.221259393406285,0.671845607788555],[33.2728145243708,0.678752995554305],[33.307972445971586,0.648797919088679],[33.33432742656947,0.638100897938102],[33.358615349618674,0.622546292177617],[33.36719363817582,0.615518297231631],[33.37484174984684,0.607766831873789],[33.39716596903423,0.59464101796857],[33.404090610293395,0.576967677816072],[33.408948194903246,0.559035956144442],[33.437266880262314,0.547305406219493],[33.47013309096934,0.545238349570184],[33.49896854026588,0.525497951868999],[33.517055290669134,0.547512111794504],[33.542686801754485,0.523999335101223],[33.54030968584328,0.502243556694793],[33.544960564878124,0.481572983906062],[33.560566846582674,0.467930406063374],[33.56573449135368,0.450670477960159],[33.547854444726795,0.420698147101803],[33.522429998945256,0.396199131584638],[33.51290933869501,0.367637152632483],[33.50425419317645,0.346864804467145],[33.490405961066244,0.338209658948585],[33.477423243687724,0.336478629485157],[33.4635750106782,0.33301657145762],[33.41824995297293,0.307836819513625],[33.38703738776519,0.302617498798497],[33.29494998485387,0.343080146131854],[33.27285498846692,0.350246361480401],[33.21450759824705,0.369170555176993],[33.18364369569997,0.392269877552792],[33.18725630113738,0.428139553197809],[33.180745070128864,0.465243231789714],[33.157594027742164,0.494698797811282],[33.09857954291158,0.544204819896493],[33.084833612281386,0.561568100787213],[33.05062381443747,0.641976629717703],[33.04897016803881,0.663163967343223],[33.07501509027418,0.652001858199185],[33.096925897412234,0.666212876822783],[33.12782840335808,0.660476793069506],[33.13330610469296,0.681457424220753],[33.157904087004,0.679648749090461],[33.181881951690684,0.684919744850333]]]}"
Kaabong,UG-315,"{""type"":""Polygon"",""coordinates"":[[[33.52771634883044,3.771430572562849],[33.53260909000011,3.774292705000079],[33.60619632900011,3.848086650000127],[33.70190108200012,3.944075623000103],[33.81367720500015,4.056032614000031],[33.896049438000034,4.138353170000101],[33.97707808500007,4.219691875000095],[34.006016887000044,4.205713399000103],[34.02854781100007,4.188014221000088],[34.04105350800006,4.164811503000081],[34.03970992100005,4.13403818700003],[34.04095015500013,4.12042144800003],[34.04973514800008,4.109466044000058],[34.060897257000136,4.099259949000071],[34.06926883900013,4.088020325000031],[34.07236942600014,4.076418966000077],[34.07267948400005,4.064662577000078],[34.06978560300007,4.041356506000042],[34.06585819500009,4.027429708000057],[34.06151737500011,4.017921245000082],[34.06110396300011,4.007766825000118],[34.06895878100005,3.991876323000099],[34.08084436100006,3.980791728000085],[34.09552046700014,3.970999044000038],[34.10709598800008,3.959501037000095],[34.10957645600007,3.943352152000017],[34.09893111200006,3.917720642000049],[34.086218709000036,3.894672953000082],[34.08477176900004,3.87733551000008],[34.10802616400014,3.868938091000089],[34.12373579900009,3.872038676000045],[34.1634232990001,3.886198019000091],[34.18285363700005,3.886094666000062],[34.20497115100011,3.874544983000121],[34.20755497300007,3.860876567000105],[34.19670292200004,3.847389018000044],[34.14895389800006,3.822687683000126],[34.15081425000005,3.817209981000047],[34.16652388500006,3.811318868000043],[34.179029582000055,3.796100159000105],[34.15908247900012,3.783361919000043],[34.152467895000086,3.775636292000044],[34.16518029800005,3.770830383000131],[34.17365523300009,3.771398824000087],[34.19091516100008,3.775842997000012],[34.21055220500011,3.77713490800005],[34.23039595600011,3.782741801000071],[34.24093794700008,3.783620300000024],[34.24155806500005,3.778736878000089],[34.26377893000006,3.750056457000099],[34.27886844900007,3.709723002000132],[34.29044396900008,3.703160095000058],[34.295094848000076,3.707345886000084],[34.29943566900005,3.716931864000088],[34.309874309000065,3.726698710000051],[34.337056112000084,3.734579366000091],[34.35503951000004,3.72737050400012],[34.387492310000084,3.692747294000114],[34.40630253100011,3.682928772000054],[34.42500939900009,3.67719268800009],[34.439685506000046,3.667735901000128],[34.446403443000065,3.646703593000026],[34.44392297400009,3.566295065000062],[34.43451786300005,3.526219991000076],[34.41550093600006,3.49702280700005],[34.406199178000065,3.492294414000057],[34.395967244000076,3.489607239000037],[34.38687219200011,3.48562815300005],[34.38129113800011,3.476868998000072],[34.38211796000013,3.466042786000031],[34.39441695200014,3.444622904000099],[34.398551066000095,3.433641662000113],[34.39700077300006,3.424159037000052],[34.386975546000144,3.399664409000096],[34.383978312000124,3.388347270000025],[34.386562134000144,3.376384176000073],[34.39441695200014,3.365661316000057],[34.40382206200013,3.355403544000069],[34.411160116000076,3.344706523000056],[34.424079223000035,3.304812317000113],[34.43400109900011,3.182029114000059],[34.44485315000014,3.159136455000038],[34.46573042800014,3.14585561100003],[34.51285933400004,3.132368063000072],[34.53383996600013,3.118467102000082],[34.5455563430001,3.097500953000036],[34.545209587852185,3.09735647182373],[34.54489953038899,3.097227281513824],[34.52681277818715,3.085109157961256],[34.5081059101596,3.078727118161964],[34.48536827982224,3.087098700244837],[34.46335411989668,3.084928289908646],[34.42563032368048,3.076169135097473],[34.386252882864255,3.081672674854076],[34.3284786305843,3.082912909203401],[34.27731896299974,3.110378932941387],[34.15763634604053,3.197066147984344],[34.03619672989515,3.239363307970279],[33.906178826991265,3.243678290220885],[33.91331017382544,3.273650621079298],[33.90349165181823,3.296517441726564],[33.87496626178353,3.302692775950845],[33.845820754124475,3.290187078770657],[33.79507449679056,3.315405177806724],[33.74339806526848,3.353128974022923],[33.71528608638374,3.409611314210792],[33.67456505663205,3.457515366740779],[33.65544477655516,3.512344062328623],[33.62991662005595,3.563167833129],[33.56470096167999,3.655358587928504],[33.52935428227431,3.766902166801572],[33.52771634883044,3.771430572562849]]]}"
Kabale,UG-404,"{""type"":""Polygon"",""coordinates"":[[[30.065984342603315,-1.386944953546788],[30.060779663000062,-1.389733174999918],[30.047757202000128,-1.403169046999963],[30.03866215000005,-1.424976500999904],[30.028326863000075,-1.427146911999984],[29.960424032000105,-1.464767353999903],[29.938461548000134,-1.47293223099993],[29.917429240000047,-1.47520599399985],[29.897895548000122,-1.469624938999928],[29.880738973000064,-1.453605244999963],[29.871023804000117,-1.432417906999916],[29.86864668800007,-1.391283466999937],[29.864202514000056,-1.370302835999937],[29.836090536000142,-1.329478454999943],[29.82513513200007,-1.323897399999936],[29.825024114000087,-1.323880810999896],[29.821983677304843,-1.31516488994771],[29.77030724488344,-1.203285414290463],[29.79686893105628,-1.183183282282641],[29.766069776998563,-1.15925709354002],[29.73041303923037,-1.11879444710604],[29.727415805694875,-1.107839043537012],[29.742815382723734,-1.093266289707515],[29.754597608592746,-1.075644625499081],[29.7560445494164,-1.062828870855697],[29.766896600197924,-1.054508965616265],[29.77185753759528,-1.025001722751313],[29.826014438715333,-1.028257337805883],[29.84720177634091,-1.050168144943939],[29.86973270020394,-1.063965752417573],[29.882548455746644,-1.046757501157742],[29.900118443111637,-1.044122002828203],[29.93174441857002,-1.049961440268248],[30.06837690616925,-1.086703382754934],[30.076231724314596,-1.11569386078304],[30.088737419696145,-1.140188490306571],[30.122843865651873,-1.151040541088094],[30.159327426619427,-1.15372771626113],[30.179274529895622,-1.164321383724882],[30.177414177921946,-1.193518569126695],[30.209556919116494,-1.184888603726108],[30.23436160700254,-1.160807387151181],[30.264747349010918,-1.151453953137434],[30.2902755064095,-1.152590833799934],[30.290949658000102,-1.15262085699996],[30.28753584800006,-1.15543222999986],[30.284641968000074,-1.161426695999893],[30.282419882000113,-1.175792744999896],[30.280507853000074,-1.182407327999982],[30.269759156000077,-1.200494079999899],[30.2566850180001,-1.217237243999946],[30.212191610000104,-1.259508564999933],[30.196740356000134,-1.26870696999994],[30.189350627000124,-1.270877379999931],[30.18139245600014,-1.271497497999903],[30.173434286000088,-1.272841084999953],[30.165579468000146,-1.277491963999921],[30.158448120000116,-1.291134541999924],[30.15235030100007,-1.329891865999869],[30.147182658000077,-1.345084736999894],[30.136330607000104,-1.35521331799994],[30.09550622600011,-1.371129658999962],[30.065984342603315,-1.386944953546788]]]}"
Kabarole,UG-405,"{""type"":""Polygon"",""coordinates"":[[[29.832628214920135,0.336983133864521],[29.839604533000056,0.35848053000008],[29.851076701000125,0.377187399000064],[29.903908654760585,0.438229209110716],[29.912417432918176,0.429173081972124],[29.921254102994453,0.419974676689947],[29.932261183406865,0.410362861157125],[29.938979119990393,0.406848862784784],[29.946730584448915,0.405763658066348],[29.959442987204056,0.410207831526179],[29.972155389059935,0.416667384791992],[29.9781481087482,0.422849465730224],[29.99809695760848,0.43356557948789],[30.008535597239984,0.457595120118697],[30.02331505664455,0.478627428113327],[30.036544224236536,0.483846747029759],[30.04801639174309,0.49118480123758],[30.05762820817523,0.505447495805299],[30.06786014223178,0.517901516142047],[30.087187126984304,0.565082099159554],[30.11178510929534,0.608076890236305],[30.13297244602154,0.630814521472985],[30.142377556878728,0.661665351474767],[30.154883254058916,0.688795478428574],[30.17038618297596,0.714685370133736],[30.23985165243181,0.75212289505555],[30.286948151535967,0.78352056052546],[30.310496401088017,0.858090018039888],[30.357592900192174,0.818842934853535],[30.432162356807282,0.89341239236802],[30.471409439993636,0.944433599431079],[30.527160271629214,0.985934962828253],[30.545350375719238,0.929504299483824],[30.521785923081893,0.906921697878033],[30.501528762342502,0.881651922897902],[30.48581912605181,0.853023180075695],[30.48984988836162,0.845736802711258],[30.49512088412149,0.839742336539587],[30.482615186941302,0.806100979476639],[30.462874790139438,0.77716217739254],[30.440653923739546,0.761969305938692],[30.434866164042205,0.705693671325832],[30.42876834508303,0.67541128210496],[30.413265415266665,0.660786851432022],[30.396935663150316,0.640271308274237],[30.39817589660032,0.615001532394785],[30.41357547362918,0.599395249790916],[30.456260207242735,0.56807933179573],[30.442204217350707,0.563118394398373],[30.428148228358054,0.541207587260317],[30.416055943227207,0.528598538192],[30.390941196079325,0.51009837484014],[30.376265090361585,0.485345363797478],[30.379779086935287,0.46999746271274],[30.380502557347143,0.454597887482521],[30.365619745155072,0.423385321375463],[30.386497022619494,0.396720282415117],[30.389184197792474,0.370778712967194],[30.379055617422807,0.310885728093865],[30.361795689319592,0.227634996158145],[30.293272739045676,0.246083481767243],[30.268709942709677,0.263489317677852],[30.24377636039071,0.281157903114718],[30.216303402879703,0.300781444707923],[30.165282194917324,0.296856735849644],[30.137809237406373,0.343953234953801],[30.059315071932986,0.367501484505908],[29.953347948948647,0.343953234953801],[29.832628214920135,0.336983133864521]]]}"
Kaberamaido,UG-213,"{""type"":""Polygon"",""coordinates"":[[[32.97920698431483,1.462443346183477],[32.96422081933531,1.473553778484074],[32.96525434721036,1.562437242284886],[32.943343540072306,1.645584622332422],[32.979000277840555,1.664291490359972],[32.98933556468455,1.715451157944585],[33.026956008113245,1.70010325775911],[33.06333621629335,1.702532050513696],[33.079355910047184,1.708707383838657],[33.09454878060171,1.71705312749981],[33.09878624938585,1.728473619062243],[33.10219689317205,1.742917182581891],[33.122557406698945,1.800407213122355],[33.12906863770746,1.833221746985998],[33.137750278152794,1.842988593049142],[33.15046268090799,1.847975368868163],[33.2403796725838,1.903889268275123],[33.25577924961266,1.921097520434216],[33.267664829168496,1.941483873282095],[33.27696658723818,1.948821925691334],[33.28244428857306,1.9592864037445],[33.2912292818059,2.039462389577579],[33.33308719311947,2.038738918266461],[33.37122439958637,2.019308579827111],[33.37587527772189,1.998715522303485],[33.38435021259221,1.979956977432551],[33.4030570824184,1.970422675366137],[33.41638960099925,1.957710273510315],[33.41731977698612,1.917402654908585],[33.443778110371454,1.887430324949548],[33.45390669074118,1.866656399373312],[33.45659386591416,1.844383857029356],[33.43892052576166,1.812344469521634],[33.43871382018665,1.793560085329659],[33.43788699698729,1.773871365371178],[33.400975571865104,1.751833386901296],[33.35420151298939,1.71675284206998],[33.31327421113593,1.69921257010401],[33.25480663731645,1.69921257010401],[33.248959879394874,1.655361889739424],[33.24637413875547,1.615844835470796],[33.21472747889004,1.572018217366804],[33.20720340261494,1.462830918911777],[33.20803257754142,1.368870776764936],[33.13330610469296,1.378520819780022],[33.104057245145725,1.407407945020623],[33.068917271315,1.432083441697444],[33.014243605358104,1.45996287748477],[32.99739708840491,1.465905666813057],[32.97920698431483,1.462443346183477]]]}"
Kalangala,UG-101,"{""type"":""Polygon"",""coordinates"":[[[32.72226771788087,-1.002573344084567],[32.54083500200005,-1.002573343999927],[32.35764205000004,-1.002573343999927],[32.17455244900009,-1.002573343999927],[31.99141117300013,-1.002573343999927],[31.9861926609625,-1.002573344084567],[31.9861926609625,-1.002470797988963],[31.9861926609625,-0.773905938008625],[31.9861926609625,-0.413204440732386],[32.007276645800516,-0.397391452553506],[32.02836062973927,-0.384265638648287],[32.05202843606344,-0.37108814879906],[32.06784142424232,-0.350004163960989],[32.06525760275616,-0.323700860206543],[32.03590538862278,-0.311401868601365],[32.02949751220041,-0.294503675704107],[32.020815870855756,-0.278742363469291],[32.01265099524721,-0.267631931168694],[32.0097571135999,-0.260913994585167],[32.00872358572491,-0.253162530126701],[32.0062431170262,-0.246702975961568],[31.99869835814269,-0.244067477631972],[31.99022342327237,-0.244532565625434],[31.984332309888146,-0.244222507262918],[31.97947472527835,-0.240398450528062],[31.974513787880994,-0.230424899789284],[31.980094842003325,-0.204896741491439],[31.980508254052666,-0.189445488518516],[31.971413201557993,-0.182624200046803],[31.961387973975775,-0.183606051977733],[31.926661411295072,-0.195646661164517],[31.93544640542723,-0.155235690674601],[31.94030398913776,-0.140404554426652],[31.934412875753594,-0.139319349708217],[31.91984012192404,-0.134203382679971],[31.93565311010292,-0.126761976583964],[31.96304162037444,-0.149344578189755],[31.99756147568155,-0.158129570523272],[32.2481921733301,-0.158387952941666],[32.387511834303666,-0.159783216921937],[32.493138462270224,-0.163090508819948],[32.605021537913615,-0.163090508819948],[32.8472253757505,-0.163090508819948],[32.8472253757505,-0.462102566080546],[32.8472253757505,-1.002470797988963],[32.8472253757505,-1.002573344084567],[32.72387292500008,-1.002573343999927],[32.72226771788087,-1.002573344084567]]]}"
Kaliro,UG-220,"{""type"":""Polygon"",""coordinates"":[[[33.53183475097296,0.880928453385422],[33.49297407409421,0.861188056583558],[33.47685102665355,0.863151760445362],[33.459797805024664,0.86893952104208],[33.42734500456828,0.87141998884141],[33.39840620338356,0.884442449959067],[33.39220503073756,0.916275132791156],[33.409154901377576,0.985159817371652],[33.3933419131987,1.018284410497131],[33.382696567992184,1.033373928264155],[33.37360151459819,1.049341946073923],[33.359028761668014,1.067997138157409],[33.338771600029304,1.079262600088896],[33.365229933414696,1.101070055338766],[33.367090285388315,1.114350897975555],[33.3653332862022,1.129388738899195],[33.38031945208104,1.155433661134566],[33.39840620338356,1.180651760170576],[33.41194542843874,1.209177151104655],[33.43158247155378,1.234601955715675],[33.43985070174847,1.259613349176732],[33.44253787602213,1.287570299329843],[33.47251020688054,1.265091051410877],[33.49876183379155,1.238477688394596],[33.524186639301945,1.202820949727027],[33.53493533729596,1.200908921809287],[33.54930138465119,1.197033189130366],[33.57513960131155,1.175794176460045],[33.59632693893707,1.152074693292434],[33.61120975112908,1.117451484298556],[33.63291385269213,1.087634182171769],[33.61689415893824,1.063036199860733],[33.60542199143174,1.036474513687835],[33.59301964703906,1.013891912981364],[33.57617313008586,0.99358307539859],[33.53183475097296,0.880928453385422]]]}"
Kalungu,UG-122,"{""type"":""Polygon"",""coordinates"":[[[31.855784970300135,-0.007351203994858],[31.879945916271026,-0.034881280146976],[31.93565311010292,-0.126761976583964],[31.91984012192404,-0.134203382679971],[31.934412875753594,-0.139319349708217],[31.94030398913776,-0.140404554426652],[31.93544640542723,-0.155235690674601],[31.926661411295072,-0.195646661164517],[31.961387973975775,-0.183606051977733],[31.971413201557993,-0.182624200046803],[31.980508254052666,-0.189445488518516],[31.980094842003325,-0.204896741491439],[31.974513787880994,-0.230424899789284],[31.934566390926193,-0.24225374381524],[31.8918710102389,-0.26502461399474],[31.72108948479189,-0.262178255222295],[31.749553072516278,-0.228021949953018],[31.755245790061167,-0.205251079773518],[31.735321278654055,-0.165402057858671],[31.72678220233672,-0.119860317499672],[31.70970404970211,-0.07716493681238],[31.68693318042193,-0.023084120136048],[31.67270138655971,0.01107218423391],[31.648848910748598,0.047129218338739],[31.671689893873463,0.062477118524214],[31.69711469938386,0.075499578742551],[31.75643924257696,0.066456203990583],[31.79347911337038,0.050107102960396],[31.81286990682071,0.041548163317088],[31.855784970300135,-0.007351203994858]]]}"
Kampala,UG-102,"{""type"":""Polygon"",""coordinates"":[[[32.57912804532299,0.465191554946273],[32.59711144383806,0.466483466139039],[32.61220096160508,0.477748928070582],[32.618608839826095,0.495525621010586],[32.638039178265444,0.501210027920422],[32.65953657425348,0.503690497518448],[32.67162885938433,0.482038071899467],[32.66666792198697,0.459817206398952],[32.66305057082718,0.426227525280069],[32.66770144986202,0.393206284942096],[32.68609826042638,0.334605211261476],[32.66418745328832,0.287631333818979],[32.60738688709512,0.288444736435451],[32.547295363390276,0.273730374457216],[32.5235242042786,0.303340969210353],[32.54512495305414,0.343596910069323],[32.55897423737116,0.361166897434373],[32.56507205633034,0.388762112381585],[32.56341840993167,0.39615184253347],[32.556700474247464,0.401887926286747],[32.555563591786324,0.410569565832759],[32.55949100130863,0.417804267253132],[32.544401482642286,0.43010325795899],[32.53582319498446,0.442557278295737],[32.54905236167713,0.483433335879738],[32.56662234904218,0.476095282571237],[32.57912804532299,0.465191554946273]]]}"
Kamuli,UG-205,"{""type"":""Polygon"",""coordinates"":[[[33.29722374887689,0.943715318107422],[33.29712039608938,0.907386785871438],[33.29401980976638,0.88992015219327],[33.287715285232196,0.873435370445975],[33.28554487489606,0.858759263828972],[33.29112592991771,0.843721422006013],[33.28761193244469,0.83193919523768],[33.280583936599385,0.822327378805483],[33.27655317608816,0.799383042893112],[33.264254185382356,0.780882880440572],[33.25030154827783,0.772873033563656],[33.23748579273513,0.763467921807148],[33.22994103385162,0.747241523377568],[33.21898563028259,0.701404527496948],[33.221259393406285,0.671845607788555],[33.19852176306887,0.677581692441152],[33.181881951690684,0.684919744850333],[33.157904087004,0.679648749090461],[33.13330610469296,0.681457424220753],[33.12782840335808,0.660476793069506],[33.096925897412234,0.666212876822783],[33.07501509027418,0.652001858199185],[33.04897016803881,0.663163967343223],[33.05072716632566,0.708070787237034],[33.04617964007832,0.75576813419201],[33.03357059100995,0.798297838174676],[33.014243605358104,0.837003486321805],[32.96649458155969,0.911417548181305],[32.95440229732816,0.95007151948505],[32.93610883955131,1.082673244774412],[32.93931277776244,1.104222316706569],[32.9609135274373,1.121637275339992],[32.96535769999781,1.141170966566847],[32.96535769999781,1.163805243217382],[32.96132693858732,1.181685288944891],[33.038374721716025,1.173681468425002],[33.113627003883096,1.138949645609671],[33.128098596572954,1.098429186257931],[33.133887234008625,1.055014408188356],[33.15704178195267,1.037648496780719],[33.183090649513815,1.028965540627212],[33.229399746301226,0.991339399993308],[33.25834293168094,0.962396213714271],[33.29722374887689,0.943715318107422]]]}"
